"sample","age","mswd","ci"
"BRc02_grain_06",1520.53571710165,1.39317252431051,186.193938701125
"BRc02_grain_34",1062.46389901516,0.0992549445433308,100.267344498912
"BRc02_grain_35",1250.4217585618,0.884468148707919,240.586360878862
"BRc02_grain_43",938.68649469458,1.12650713647071,80.3624299977406
"BRc02_grain_46",886.19673517239,2.948204628294,104.208715725454
"BRc02_grain_47",1057.76919645812,0.0963538047830671,350.817693088272
"BRc02_grain_53",942.82329171868,5.5907552610015,89.5831080393986
"BRc02_grain_78",430.33911139397,1.00554242570551,111.00482088508
"BRc02_grain_83",815.624851073019,1.39306133019854,53.4610773489362
"BRc02_grain_87",633.08291836079,6.14514622271342,152.576764815842
"BRc02_grain_93",1037.69207227359,1.09258140839749,86.9385443981374
"BRc_grain_110",1393.54486623527,2.36845381447183,167.435999425852
"BRc_grain_116",1122.42160142605,1.05524224474214,164.958550346704
"BRc_grain_117",752.619229363748,1.99098155706354,111.100579842488
"BRc_grain_130",1207.91573277945,2.02442571189736,102.179191611239
"BRc_grain_137",555.102923515155,2.94971592556931,49.4925933461569
"BRc_grain_15",886.489976017133,0.0879633053702708,373.419459880316
"BRc_grain_22",1113.13159205851,9.05540981656879,110.146434836983
"BRc_grain_51",1138.2305099967,1.58004190871021,99.3941953643725
